pid,technique,granularity,windows,trialNo,time,accuracy,steps
5,TRADITIONAL,phrase,Single,1,6913,1,5
5,TRADITIONAL,phrase,Single,2,7664,1,5
5,TRADITIONAL,phrase,Single,3,7756,1,6
5,TRADITIONAL,phrase,Multiple,1,16047,1,7
5,TRADITIONAL,phrase,Multiple,2,6709,1,5
5,TRADITIONAL,phrase,Multiple,3,9900,1,7
5,TRADITIONAL,sentence,Single,1,4750,1,5
5,TRADITIONAL,sentence,Single,2,4787,1,5
5,TRADITIONAL,sentence,Single,3,8684,1,5
5,TRADITIONAL,sentence,Multiple,1,4501,1,4
5,TRADITIONAL,sentence,Multiple,2,6767,1,7
5,TRADITIONAL,sentence,Multiple,3,23517,1,5
5,TRADITIONAL,paragraph,Single,1,3410,1,5
